"Latitude";"ACCESS1-0";"CMCC-CESM";"CMCC-CM";"CNRM-CM5";"GFDL-ESM2G";"GFDL-ESM2M";"GISS-E2-R";"IPSL-CM5A-LR";"IPSL-CM5A-MR";"IPSL-CM5B-LR";"MPI-ESM-LR";"MPI-ESM-MR";"MRI-CGCM3";"NorESM1-M";"NorESM1-ME"
-47;0,0666162168740587;-0,270462982523341;0,28009703106199;0,0493323556241685;-0,0402218074234027;-0,0010429072374784;0,124459581148614;0,0859656711130795;0,12573333238982;0,117951685226812;0,0155849145148782;0,0417664531717077;0,722420194849566;-0,50916995168407;-0,498788493137948
-46;0,102623164934941;0,0487734869340331;0,39077914141155;0,178824010270938;-0,0237017848031573;0,0298256488858965;0,207104131755617;0,269979093696064;0,299432952459435;0,3105961434343;0,0567295803116366;0,0778386332671104;0,782860912216793;-0,548487463105664;-0,471307759194867
-45;0,107933770177647;0,0487734869340331;0,39077914141155;0,304753670364626;-0,0141631661474475;0,0522277334551992;0,330621273373653;0,269979093696064;0,299432952459435;0,3105961434343;0,100953315001891;0,112503684165114;0,87525253784774;-0,501950903015467;-0,456139474154197
-44;0,105812494532834;0,823136989914632;0,759468120667068;0,427220442106492;-0,00935600198157653;0,0634610059258965;0,508074283093701;0,517685432559039;0,532419233461811;0,539643209918293;0,103912615030796;0,111861317932389;0,899434781590362;-0,494803316899055;-0,436774519642564
-43;0,0942171993391104;1,15812693974712;0,874484973905374;0,569571459830915;-0,0108026313723563;0,0646502714818816;0,681089012922022;0,708494106127952;0,694426737697246;0,713310885284292;0,0740324996362788;0,0961531896172853;0,898019288314938;-0,498531195983824;-0,437159678081212
-42;0,0652038301761707;1,15812693974712;0,874484973905374;0,593177644423165;-0,0233869633342293;0,0509087693968043;0,718537559049828;0,708494106127952;0,694426737697246;0,713310885284292;0,0588623871323636;0,0562929284374992;0,868734599129351;-0,520195132118502;-0,451897557589726
-41;0,010199287485696;1,06194497973758;-0,0307432124970155;0,560565677944848;-0,0446221507565568;0,0180272262106048;0,678293943201131;0,796059393484098;0,686608717269811;0,77470240889955;-0,0029575091639316;0,00290191712700453;0,760458949900181;-0,549747303083059;-0,483707482382097
-40;-0,0496116757842859;-0,288983416546918;-1,12025633880115;0,38617715843841;-0,0812075190547797;-0,0397427631413003;0,612028647482361;0,683660640794023;0,450164778962193;0,674333958626935;-0,0103402368716478;-0,0494506442636675;0,613209897659727;-0,57617123535504;-0,506828355698095
-39;-0,103105189026364;-0,288983416546918;-1,12025633880115;0,275942362340405;-0,133743682575134;-0,106554277820481;0,544085669065607;0,683660640794023;0,450164778962193;0,674333958626935;-0,0483650540866517;-0,133220509910833;0,431822680309905;-0,626884151143697;-0,564520788623637
-38;-0,14371248719302;-1,80062154847133;-2,40313570037105;0,158783781202036;-0,201465193542673;-0,170781465532028;0,434922172589022;0,357872738675863;0,0866869242636288;0,406481164061286;-0,0888950117862085;-0,175936904063036;0,229616063391514;-0,654086917410304;-0,611359450563942
-37;-0,167738702296815;-2,49835746955865;-2,14868270550548;-0,0106606272604186;-0,267044500921003;-0,223865489888836;0,323545315400798;-0,0242735549609824;-0,238358540160751;0,125703514064009;-0,129676399350026;-0,219337605239979;0,0569284055949477;-0,720649154672887;-0,672898202029978
-36;-0,183001586264934;-2,49835746955865;-2,14868270550548;-0,0813983638332354;-0,326888865380693;-0,265206425126306;0,227066330581972;-0,0242735549609824;-0,238358540160751;0,125703514064009;-0,123053671815848;-0,251747040626504;-0,0359846654482912;-0,765103086689092;-0,715610980783679
-35;-0,190388737511371;-2,66657119386733;-1,86032594945748;-0,125779848977155;-0,371574750193527;-0,291880162020028;0,13310361871601;-0,303377597917346;-0,435368393680964;-0,100403645304713;-0,198030196873436;-0,270643891915085;-0,0685977144877739;-0,782985046988988;-0,730672951010048
-34;-0,185200506620553;-2,66657119386733;-1,86032594945748;-0,137405754461739;-0,406806866110621;-0,313741512920525;0,0833819643147277;-0,303377597917346;-0,435368393680964;-0,100403645304713;-0,232459885666749;-0,334485219598719;-0,065154247793016;-0,791530900593118;-0,738834597902035
-33;-0,183749909608858;-2,35133302136061;-1,37205757310703;-0,179299535048112;-0,427169440832273;-0,326480877396497;0,104645731145448;-0,446795387758741;-0,522146743832836;-0,220452375411095;-0,276526317447788;-0,345254144706602;-0,0540373901431381;-0,806787160121391;-0,751259553414349
-32;-0,190304060168294;-1,12175188397042;-0,21719576566115;-0,205778852298617;-0,444834206786381;-0,343730303170671;0,0904624680809088;-0,543298590578189;-0,582943013191544;-0,318263446171238;-0,322111517543252;-0,415213981539222;-0,0768108276566741;-0,771874213120341;-0,751675003154944
-31;-0,206039423172574;-1,12175188397042;-0,21719576566115;-0,22207391857502;-0,458448659458526;-0,362877197116501;0,124922398158967;-0,543298590578189;-0,582943013191544;-0,318263446171238;-0,368270605696298;-0,449915746511397;-0,113557516405197;-0,754080919997457;-0,721182752268356
-30;-0,226561097807684;-0,0609947204878336;0,593139741681254;-0,243224178812712;-0,481006249317555;-0,392470884324617;0,0840724003419534;-0,650183145883767;-0,656511169188932;-0,439693712526711;-0,380603748452479;-0,490997913869408;-0,138269899248;-0,845827748350123;-0,805393969669939
-29;-0,247030312667955;-0,0609947204878336;0,593139741681254;-0,270124833025685;-0,505148689959808;-0,423221316603017;0,056058725578678;-0,650183145883767;-0,656511169188932;-0,439693712526711;-0,467787639123403;-0,537313368441199;-0,180129354924239;-0,784623928312902;-0,729101681756399
-28;-0,268805726082539;1,76856290929323;2,10444039931713;-0,281937528467273;-0,535865464246733;-0,460083274208597;0,0776550257544107;-0,768336003607181;-0,766856615301956;-0,569474259910178;-0,517881763502247;-0,598274850280535;-0,189359363548171;-0,747530471815561;-0,736187787220378
-27;-0,295821062848512;1,76856290929323;2,10444039931713;-0,295439577827168;-0,566698602276024;-0,49681216555817;0,075444128004005;-0,768336003607181;-0,766856615301956;-0,569474259910178;-0,553211107211913;-0,666985896404001;-0,223148155324006;-0,829316596477235;-0,790324500050543
-26;-0,324461934665093;3,30691172356588;3,56785479177776;-0,33436022249111;-0,602227596387755;-0,537511510609783;0,0268735618323342;-0,865949107174741;-0,853891450130074;-0,678726927060719;-0,647652535582988;-0,711694788514696;-0,229824693231138;-0,767718553723465;-0,754179589805056
