"Longitude";"ACCESS1-0";"CanESM2";"CCSM4";"CMCC-CESM";"CMCC-CM";"CMCC-CMS";"CNRM-CM5";"CSIRO-Mk3-6-0";"GISS-E2-H-CC";"GISS-E2-H";"GISS-E2-R-CC";"GISS-E2-R";"HadGEM2-CC";"HadGEM2-ES";"IPSL-CM5A-LR";"IPSL-CM5A-MR";"IPSL-CM5B-LR";"MIROC5";"MIROC-ESM-CHEM";"MIROC-ESM";"MPI-ESM-LR";"MPI-ESM-MR";"MRI-CGCM3";"MRI-ESM1";"NorESM1-ME";"NorESM1-M"
274,5;-65,8330017349836;-63,7562971840424;-63,4064420023545;-61,4328160829402;-63,6600101028681;-62,0263796657176;-68,2100646186209;-65,0350178772694;-64,4905529370344;-68,5260259476223;-61,853090937456;-62,0209843585793;-68,4171812465439;-68,3477974291008;-62,6519506154772;-64,183835447974;-68,4843246407244;-70,6012704629169;-63,3644073806019;-63,4007502126845;-65,6727398332839;-66,1833385397454;-65,9649904583157;-65,7970657260006;-64,5883743482244;-65,9189940863126
275,5;-65,8289661162675;-63,7562971840424;-63,3154979357175;-61,8155310613292;-63,6487839727031;-62,1941127302546;-68,1706815063188;-64,9366801283041;-65,5043300345877;-68,8205053302368;-61,8195233896053;-61,9629167493736;-68,4465596987966;-68,4071486056534;-62,6465840392939;-64,1778737911651;-68,4708347809003;-70,7376763692896;-63,3644073806019;-63,4007502126845;-65,6696850707968;-66,2524650978712;-65,882167046523;-65,73086919862;-64,5921254990643;-65,8917918461559
276,5;-65,8098665392527;-63,7562971840424;-63,197574704198;-61,8155310613292;-63,6487839727031;-62,1941127302546;-68,0859760613297;-64,9366801283041;-65,5043300345877;-68,8205053302368;-61,8195233896053;-61,9629167493736;-68,4577864293241;-68,4603733602017;-62,6465840392939;-64,1778737911651;-68,4708347809003;-70,6171291412793;-63,1774032297074;-63,2453794005624;-65,6314213010462;-66,1549343926107;-65,7766523565146;-65,6487399340055;-64,5806856480937;-65,8473106935147
277,5;-65,7821625996195;-63,725059576184;-63,0607222637676;-65,6792676445177;-63,6503478133597;-62,3804740134325;-67,9937353132929;-64,8337900547397;-65,5043300345877;-68,8205053302368;-61,8195233896053;-61,9629167493736;-68,4874991339939;-68,5173997740566;-62,6358541970534;-64,1624360908142;-68,4250544167686;-70,6847642100381;-63,0284352712319;-63,0440361353413;-65,1330305854452;-65,8269836429758;-65,6679975911103;-65,4507511833266;-64,5509345424379;-65,7877464080771
278,5;-65,7471991919067;-63,725059576184;-62,9231596812835;-65,6792676445177;-63,6503478133597;-62,3804740134325;-67,8990506176013;-64,75536687586;-64,4083998630017;-68,870164657571;-61,7812569500613;-61,8818098488325;-68,4977054384602;-68,5919081429999;-62,6358541970534;-64,1624360908142;-68,4250544167686;-70,8089955303935;-62,8978894151898;-62,8347252666432;-65,1330305854452;-65,6408498136827;-65,3842379319393;-64,995696295624;-64,5011343647466;-65,7201589136564
279,5;-65,7175605245938;-63,725059576184;-62,9231596812835;-65,3673953949213;-63,6576526513521;-62,5550217403879;-67,801635913447;-64,75536687586;-64,4083998630017;-68,870164657571;-61,7812569500613;-61,8818098488325;-68,5434293941354;-68,7200249904589;-62,6068304505001;-64,137258542886;-68,3823945136079;-70,5801766735045;-62,8978894151898;-62,8347252666432;-65,1890701995647;-65,5240726320351;-64,9564850568168;-64,7885034575394;-64,5011343647466;-65,7201589136564
280,5;-65,6904835855961;-63,6890294320469;-62,7984091426586;-65,3673953949213;-63,6576526513521;-62,5550217403879;-67,661032631355;-64,7033756555122;-64,1110677693882;-68,6533352800206;-61,727991042162;-61,8059150173653;-68,4870846462376;-68,7553458946448;-62,6068304505001;-64,137258542886;-68,3823945136079;-70,4183766269611;-62,7746432448058;-62,7125742359246;-65,1911113285952;-65,3113856970513;-64,7624348518681;-64,6496436053659;-64,2920138439208;-65,6419333870132
281,5;-65,6597535939863;-63,6890294320469;-62,6841311337833;-64,7957151595856;-63,6718026494482;-62,7065409863983;-67,5195344829785;-64,7033756555122;-64,1110677693882;-68,6533352800206;-61,727991042162;-61,8059150173653;-68,3311541249751;-68,7393510718968;-62,5715582082349;-64,1081331038392;-68,391880429118;-70,2981314709297;-62,6352859397337;-62,56867204933;-65,3194296661782;-65,1992037580488;-64,6702920228955;-64,5472284439947;-64,0544195295286;-65,5518226375939
282,5;-65,6203486105137;-63,6890294320469;-62,5441731545401;-64,7957151595856;-63,6718026494482;-62,7065409863983;-67,3635657799619;-64,6576346243539;-64,1110677693882;-68,6533352800206;-61,727991042162;-61,8059150173653;-68,1347630352859;-68,4673829962051;-62,5715582082349;-64,1081331038392;-68,391880429118;-69,1894371154151;-62,6352859397337;-62,56867204933;-65,6707710770525;-64,9955935399279;-64,5911300050414;-64,3309247934343;-63,7815815910854;-65,3574796004971
283,5;-65,5266693953026;-63,6379519161775;-62,3886372770069;-64,3920237283259;-63,6908396937867;-62,8225602665194;-67,1971016512744;-64,6576346243539;-63,822684409644;-68,8347527774437;-61,670251874717;-61,745369690771;-67,8119262935671;-68,1170617348117;-62,5494669541727;-64,054636370588;-68,4714355430496;-68,8186716854776;-62,367252764181;-62,2027850135602;-65,8656113858998;-64,9529411673778;-64,3394310760505;-64,0720432881564;-63,4896932214634;-65,134223756215
